tweet,label
yes awal corrected me 2 years ago but bazawalaa no na ɛyɛ me dɛ,positive
me w eye drops 3nti mani ate paaa joey b,positive
ob afehyia pa afe sesei na adze a oda wakoma do biara way3 yie ama wo me sr3 nkwa tsentsen na sika pio dze ma wo ma wenyiwa ngye dabiara,positive
it seems nana u have not try gɔbɛ and kɔkɔɔ a ɛyɛ hyɛ da,positive
nyame yɛ adom phada azigy bɛba bi 😂😂😂😂😂😂😂😂😂😂😂😂😂,positive
congratulations bossu ma regards to naa ayɛma ✌🏿,positive
ebi nom ka banku ebi nom tn banku ebi nom hy3 banku nanso y3n de3 y3b3 di banku daa 🙏🤣🤣🤣,positive
asaay brɛdɛs and sistɛs all roads leads to taadi this december🛫🚙🪂🏊🚴🏻🦽🚢 wɔmmbra ma yɛn jawule🔥🔥🕺💃🕺💃 na yɛ nyɛ mooooore mbɛlɛdze😜,positive
fifa na wob3 b nka de3n biom🤦🏾‍♂️,positive
sister gyae gyae na me tankoa da high menya anka mɛ fly nanso me antɔ me line,positive
guess who sɛn anantuo ne wura ayera anaa,positive
okunini wonti mebe tweeti koraa na mesuro,positive
bɛma di wo fie asem wani tra wani tɔnn aa wobɛ nya asem asem mpɛ nipa nipa na ɛpɛ ne ho asɛm shɛ wo dan mu nyɛ saa na wobɛ ka me aa wobɛ nya asem 🔥🔥🔥,positive
sika de3 eho hia paa o,positive
ayiyi baako baako tis333 perfume rice,positive
me w eye drops 3nti mani ate paaa joey b,positive
ɔpanyin crentsil yɛma wo awodapa yɛserɛ nyame nhyira ahoɔden ne nkwa ntenten ma wo asafo awurade nkɔ so nhyira wo na ɔnyɛ wo kɛseɛ paaa happy birthday wishes from the osei walker family cheers 🥂🍻,positive
sika no nso aba😂,positive
p3 coins bi ma wccmo err sika nni hc o kweku,positive
hyɛ wo canvas 👟 na ɛtse band 🎺🥁 aa tɔ boaa saw na beebi yɛ dɛw mpo aa ɔnnto 💃🏽🕺🏾🤸🏾‍♂️ 2021 🔥🔥🔥 this december 🤞🏾🥰,positive
hmm chairman ena woo ka no sei we we no get di3rrr one two na dem dey take wana babes saaa,positive
mmaa dodouo nyinaa kunu charles kwadwo fosu dl,positive
sarknation females ankasa dem b too foine🥰♥️,positive
don naa nie don biaa ni akyere how many times na menka nkyere wo 😎👑♥,positive
barcafo ati y3 ti de3 nso still hala madrid for life,positive
wo ka kyerɛ broni a ɔngye nni da,positive
ɔnyankopɔn apɔmuden mpaemuka kristo a ɔte me mu no ma me diyiema pomuden mume ntumi ɛnyareanigyie ahyɛ me mu mmaawurisie ahyɛ makuma mma na onyame animonyam ahyɛ me mma ɔnyankopɔn mu anigyie ne ma hoɔden ɛno nti me wo ahoɔdenonyame ahoɔden ahyɛ me mu abre nyenaa aleluya,positive
eii philippines too dey listen to stonebwoy ein song information w wiase oo 🤣,positive
dear lord 🙏make mah galfrnd no menstruate on 14th february ooo any3 saa mogya 🛑 no mu na 🤨😁,positive
like a typical ghanaian commentator3kaa kitikitikiti nanso keeper nu akye ball nu sei twitwe 😂😂😂,positive
augusco ko fie na ko sua adi3😂😂,positive
no dey cap koraaa o ose glass nkoaaaa enti ma y3ntua elevy o 🤣 🤣 😂,positive
frame 1 nanaaba can i get a spoon frame 2 djokoto ok lemme change it for you frame 3 nanaaba eeii 3nti spoon no b nni h gyes3 fork 😥 na fork de3 da b3n da 🥺,positive
woho efe meye adam anka wobeye me hawa,positive
pls i want someone to explain dis in english for me y3kukuru mpo ni na y3b3soa and yaba na y3b3k,positive
menso mep3 22 no bi oooenti y3b3y3 no d3n,positive
sesei anibie aba nti yɛ dɛ qr code tɔ waakye,positive
power rangers koraaa dem catch am na,positive
😂😂😂😂wo yere ketewa no ho y3,positive
fa hooki me ee😫,positive
wakuma y3 ne target,positive
yehowa b3hw3 ne mma 🙏,positive
saaa poultry farmers adwuma yagyae,positive
jollof ne akok nam enti,positive
maame wo y3 buei😂😂😂,positive
dzi wo fia asem,positive
2021 de3 3y3 love god ne dw3ement nkoa oo,positive
edo ah dash me rts ai 😂😂😂,positive
ibi question me naa edey trouble my mind herh abaayiwa hof3,positive
new single yɛn hwɛ obia by don method check it out now 👉🏽 ⬇️ à ghana,positive
wei de3 mewhri s 🤣🤣,positive
ein name no be emmanuel eh🤷🏾‍♂️,positive
s3 wa te ase3,positive
this one dia osofo ma,positive
odo me ni wo b3 wo akonoba is such a profound statement 🙈,positive
afia may score man city 1 eeeeiiiii afia wo gyi wodin 🙌🏾,positive
senior abeg employ me erh,positive
eihhh wo no no 😂 😂,positive
fancy de33 fifa mu ronaldo ooo😂,positive
1 minute bia na ne tweet nam mu,positive
information wɔ ɛwiase ooo eeii😂😅,positive
hihii enfa wo ho🤣🤣🤣,positive
kalyjay b3y3 dbee p3ky33 aswear tiee ne sere3🤣🤣,positive
wooso koraa na omo y3 nu morree,positive
boy no nfaho koraa,positive
me man hene nono✅❤️ nana wonkwa so🙏🏼,positive
its alie y3di no daaa😂😂😂,positive
y33ni time saa nana😂,positive
eeeish wode3 ada me ne wo b3hyia w wedding ase de3 3b3y3 butubutu😂😂😂,positive
bra fiii gy3 wo 2,positive
3y3 nyame na ay3,positive
mep3 fufu ne y3made3🥵🥵,positive
ohemaa b3gye 12 pro max baako😍,positive
aswer na i dey feel um ooo,positive
ɔbroni no kaa sɛn,positive
bue kwan ma me ooooo sunsum agya eeeiii 🙏🙏🙏🙏🙏🙏 1057fm,positive
and yɛ se a yɛ yɔ ntina wɔbɔ yɛn mmane sɛ ɔseadeɛyɔ,positive
hon right now yɛn yie obiaaara asɛm fellow oooooooo chaaaaaargeeeee 🟡⚫🟡⚫,positive
monnim na yɛ ka ah ɛno nso yɛ asɛm,positive
asakaa nnwom ma moanigye happy,positive
nana mesere wo nya abotare,positive
papa no bi nie o,positive
wo anya anigye3 sika,positive
kenkey for the needy 6th august2022 efua sutherland childrens park 10am mon ma ye rt nu wai nyame nhyira mo,positive
normal odds and banku odds twa bi di k3k3,positive
adjoa tamakloe di3 s3 ndc aaaa na wo b3 to ama no,positive
this is catarrh one billion hundred thousand yɛ ka ne sɛn one billion yɛ ka ne sɛn wɔ twi mu umofia archbishop 🤣🤣🤣,positive
streets no yɛ aware sɛ ɛso kyɛn universe no nyinaaa🔥🔥,positive
yɛnso yɛ mrɛ nie 🤩😂,positive
sika mpo nfa ne ho,positive
ghana music industry ankasa s3 3ni mu aa no use no apologies sark y3 nyame,positive
nyame na ɛhwɛ nnipa ɛnyɛ nnipa,positive
ohene nyame nhyira wo daaa🙏🙏🙏🙏,positive
maen aden me then pique be relatives anaa,positive
anka men ka den 😂,positive
😂 😂 oh kweku kanye dier s3 me nigga,positive
send me momo masa,positive
ah ka s3 prison mpo er,positive
slim things de3 3noaa ne wei ooo🤩🤩🤩😘😂,positive
ampesie bi yɛ guy,positive
😂 😂 ah daabi daabi me bo efu menua,negative
hmm truly good real quick fact that go change africa but nkrumah koraa wa kunu na economic 123 hmm asem ni africans,negative
ceremonial vp nso y3di bor bra,negative
oh bro na what ado,neutral
hyɛma no ayɛ ma ɛnam no abu so enti peter eeei wompia,positive
ah ei pain me,negative
eeeeiii 3ne3 mo mmoa nnipa na prostate de3 3ya,positive
fa ma mi ehhh 😂,positive
fa wo gyimie ko erh,negative
oh bro mese ohiaa ne nkwasiasem,negative
sei a na mep3 cmo,neutral
nti fa wo sika nyinaaaa ma omo,positive
na awinsem yi erh🙄,positive
as dem no score deɛ,positive
asakaa drill songs mu prophet 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,positive
wani abue enti na woyɛ guy saa no,positive
ad3n say cheese 3y3 hymn anaa,neutral
sɛ ndc foɔ diɛɛ bɛbrɛɛ naa ɛgyimi,negative
lemme dm right now cos sei koraa na me p3,positive
mo na mo bu okwasia,negative
nsemhunu saa na papa panyin u come spew youa rolemode not even pigs,negative
masa go away shes not rich biaa 3ny3 oman sika nuaa na ode ay3 yie tsww🤦🏻‍♂️😂,negative
3ny3 3no na ehia,positive
3to no nso ah memp3,positive
grasshopper mpo na edey bore me 😔kingdomphylum ne de3 ekeka hoo💔😑,negative
ibi en problem ooo me i skip 😂😂😂😂,negative
hmmmmm me kwame deaɛ what ill tell you is twa car bra metwɛaa ɛnkyeaaa nkɔ ma kofi banasco wɔ central police barracks wei fri derek hɔ wɔ agric nsema,positive
nana gyai na enfa,negative
ɔtwi borla borla car wɔ nkoranza 🤣🤣🤣,negative
nti nka y3 nyi hwan na kwadaaso usain bolt mmra mu,positive
wo yale koraa aka ne kote naa wodi feeli nu a san be gye back mmoa,negative
nana me fɛrɛ wo paa oo asikafoɔ aduane na wo tɔ ho saa no,positive
rashford diɛ sɛ jon,negative
obama ano ɛya na me nyɛ den ni,positive
lol mmaa dea daabi da,negative
modi33 kyeres3 gyimie saa monsua nyansa jay z of what africa kwasiasem kwa,negative
ei ghana airforce 1 mu kamikaze paaa ooo bomb nkoaaaa 😂,neutral
ɔhemaa abotrɛ 😂😂😂😂😂😂😂😂😂😂 herh but milo yɛ fokn,negative
wokasa te s3 de3 woti london nanso wo kasa ntwam konongo mpo,negative
oh dabi but wote hwe ɔdɔ mu gyimie mu a wo life bɛyɛ sɛ koobi,negative
mo nsusue3 nyinaa b3b mo tiri so,negative
daddy lumba makoma ho toffee❤️,positive
menu no deɛ universal oo anaa wose supercontinental lol,positive
wei deɛ wo lye paa o,positive
bibini wa gyimie saa wcka kyer3 broni koraa wcn gye di,negative
wo girl ɛfru pii ne ni corset,negative
seesei obaa biaa adane apocalyto wobehu omo biaa na ring hy3 ne hwene mu😂😂,positive
god is watching yall nyame b3 tua mo ka paaa spoiling team 😢😭 😃😊,negative
😂😂😂 s3 nya baako koraaa anka yewuuooo,negative
nyame na agye mo 3ny3 saa enka agenda paaaa 😂,positive
s3 3y3 me o s3 3ny3 me o reply no de33 wob3 gye efis3 nyansaa bia nni nea woka no,negative
this trumu pant di3 chale mo trumu nyinaa b3y3 kuro ooh😹😹😹,negative
eeishh asɛm wei na aplus akâ no simple saa nu,positive
na fatima koraa why koko seller de3 anka date rush fa woho s3n,negative
ahuof3 de3 manya bi nanso sisi mu den de3 nyame de adom me,positive
sika kasa aa meti koli koli,positive
chacha mogya foɔ no wɔ hene ooo,positive
so ebi tru eei ghana 🇬🇭,positive
