tweet,label,tokens,filtered_tokens
trumu tanka nti you are crushing 😂😂😂 ei alhaji,negative,"['trumu', 'tanka', 'nti', 'you', 'are', 'crushing', '😂', '😂', '😂', 'ei', 'alhaji']","['trumu', 'tanka', 'nti', 'crushing', '😂', '😂', '😂', 'ei', 'alhaji']"
obi nse kofi taylor s ne gyimie nu ka sn,negative,"['obi', 'nse', 'kofi', 'taylor', 's', 'ne', 'gyimie', 'nu', 'ka', 'sn']","['obi', 'nse', 'kofi', 'taylor', 'gyimie', 'nu', 'sn']"
nyame btua wonso kasia to 😂😁😊,negative,"['nyame', 'btua', 'wonso', 'kasia', 'to', '😂', '😁', '😊']","['nyame', 'btua', 'wonso', 'kasia', '😂', '😁', '😊']"
krom ayɛ hye too much yɛ tumi bisa ambulance kraa lift,negative,"['krom', 'ayɛ', 'hye', 'too', 'much', 'yɛ', 'tumi', 'bisa', 'ambulance', 'kraa', 'lift']","['krom', 'ayɛ', 'hye', 'much', 'tumi', 'bisa', 'ambulance', 'kraa', 'lift']"
alatafo mma br o piii atwa mu mpena koraa omo nni bi oman ben nni kanea aaa yaamutu odo nso yaamutu,negative,"['alatafo', 'mma', 'br', 'o', 'piii', 'atwa', 'mu', 'mpena', 'koraa', 'omo', 'nni', 'bi', 'oman', 'ben', 'nni', 'kanea', 'aaa', 'yaamutu', 'odo', 'nso', 'yaamutu']","['alatafo', 'mma', 'br', 'piii', 'atwa', 'mpena', 'koraa', 'omo', 'nni', 'oman', 'ben', 'nni', 'kanea', 'aaa', 'yaamutu', 'odo', 'yaamutu']"
asw wagyimie oooo eeiiii meym mpo ashi me snaa ebi didi bi akyi😂😂😂😂😂😂😂 eeiii kweku picaso,negative,"['asw', 'wagyimie', 'oooo', 'eeiiii', 'meym', 'mpo', 'ashi', 'me', 'snaa', 'ebi', 'didi', 'bi', 'akyi', '😂', '😂', '😂', '😂', '😂', '😂', '😂', 'eeiii', 'kweku', 'picaso']","['asw', 'wagyimie', 'oooo', 'eeiiii', 'meym', 'mpo', 'ashi', 'snaa', 'ebi', 'didi', 'akyi', '😂', '😂', '😂', '😂', '😂', '😂', '😂', 'eeiii', 'kweku', 'picaso']"
wo y nipa bn,negative,"['wo', 'y', 'nipa', 'bn']","['nipa', 'bn']"
akkoa yi ti ate oo 😂😂😂,negative,"['akkoa', 'yi', 'ti', 'ate', 'oo', '😂', '😂', '😂']","['akkoa', 'yi', 'ti', 'ate', 'oo', '😂', '😂', '😂']"
s eny nsem bi a anka ka nokware s chelsea nso y team mpo anaa 🙄 🤧🤧🤧 mu sore a dede hunu nkoaa ene mun 🤣🤣🤣🤣🤣🤣🤣🤣,negative,"['s', 'eny', 'nsem', 'bi', 'a', 'anka', 'ka', 'nokware', 's', 'chelsea', 'nso', 'y', 'team', 'mpo', 'anaa', '🙄', '🤧', '🤧', '🤧', 'mu', 'sore', 'a', 'dede', 'hunu', 'nkoaa', 'ene', 'mun', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣']","['eny', 'nsem', 'anka', 'nokware', 'chelsea', 'team', 'mpo', 'anaa', '🙄', '🤧', '🤧', '🤧', 'sore', 'dede', 'hunu', 'nkoaa', 'mun', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣']"
eeii bossu obaa nti wo ka nkwasiasem 🙄,negative,"['eeii', 'bossu', 'obaa', 'nti', 'wo', 'ka', 'nkwasiasem', '🙄']","['eeii', 'bossu', 'obaa', 'nti', 'nkwasiasem', '🙄']"
oh tsw dierr hoh tsw ya register wiasim ha niama nyinaaasika sei saaa ghana beyond aid no registration faho bn,negative,"['oh', 'tsw', 'dierr', 'hoh', 'tsw', 'ya', 'register', 'wiasim', 'ha', 'niama', 'nyinaaasika', 'sei', 'saaa', 'ghana', 'beyond', 'aid', 'no', 'registration', 'faho', 'bn']","['oh', 'tsw', 'dierr', 'hoh', 'tsw', 'ya', 'register', 'wiasim', 'ha', 'niama', 'nyinaaasika', 'sei', 'saaa', 'ghana', 'beyond', 'aid', 'registration', 'faho', 'bn']"
wo naa yenp wo deda wo b sre sika akokor photo if you dont,negative,"['wo', 'naa', 'yenp', 'wo', 'deda', 'wo', 'b', 'sre', 'sika', 'akokor', 'photo', 'if', 'you', 'dont']","['naa', 'yenp', 'deda', 'b', 'sre', 'sika', 'akokor', 'photo', 'dont']"
wo maame trumu korrrrr aboa,negative,"['wo', 'maame', 'trumu', 'korrrrr', 'aboa']","['maame', 'trumu', 'korrrrr', 'aboa']"
saa werner no wagyimi anaa,negative,"['saa', 'werner', 'no', 'wagyimi', 'anaa']","['saa', 'werner', 'wagyimi', 'anaa']"
sakanka arsenal player enso de european trophy fa wo ho ben,negative,"['sakanka', 'arsenal', 'player', 'enso', 'de', 'european', 'trophy', 'fa', 'wo', 'ho', 'ben']","['sakanka', 'arsenal', 'player', 'enso', 'european', 'trophy', 'fa', 'ben']"
y na y bl oo 😂😂😂,negative,"['y', 'na', 'y', 'bl', 'oo', '😂', '😂', '😂']","['bl', 'oo', '😂', '😂', '😂']"
nyansa baako sei nni ger yi trim adn aa packs and money 😂😂,negative,"['nyansa', 'baako', 'sei', 'nni', 'ger', 'yi', 'trim', 'adn', 'aa', 'packs', 'and', 'money', '😂', '😂']","['nyansa', 'baako', 'sei', 'nni', 'ger', 'yi', 'trim', 'adn', 'packs', 'money', '😂', '😂']"
ay ka wonna enemys get we ooooo ny nkwasiafo politicians yiaa anka alatafo nso y nipa,negative,"['ay', 'ka', 'wonna', 'enemys', 'get', 'we', 'ooooo', 'ny', 'nkwasiafo', 'politicians', 'yiaa', 'anka', 'alatafo', 'nso', 'y', 'nipa']","['ay', 'wonna', 'enemys', 'get', 'ooooo', 'ny', 'nkwasiafo', 'politicians', 'yiaa', 'anka', 'alatafo', 'nipa']"
mtcheww sei na nnwom te,negative,"['mtcheww', 'sei', 'na', 'nnwom', 'te']","['mtcheww', 'sei', 'nnwom', 'te']"
ruth p kasa dodou be kasa gyan anaa,negative,"['ruth', 'p', 'kasa', 'dodou', 'be', 'kasa', 'gyan', 'anaa']","['ruth', 'p', 'kasa', 'dodou', 'kasa', 'gyan', 'anaa']"
brofo no wo fom waaa,negative,"['brofo', 'no', 'wo', 'fom', 'waaa']","['brofo', 'fom', 'waaa']"
them yti sika so us na sika no w hi,negative,"['them', 'yti', 'sika', 'so', 'us', 'na', 'sika', 'no', 'w', 'hi']","['yti', 'sika', 'us', 'sika', 'w', 'hi']"
adn woy bayifoc na wotw asei,negative,"['adn', 'woy', 'bayifoc', 'na', 'wotw', 'asei']","['adn', 'woy', 'bayifoc', 'wotw', 'asei']"
handouts no nkoaa🤣🤣🤣 dem go tell u say ibi courses na baako bia y gh ybl oo,negative,"['handouts', 'no', 'nkoaa', '🤣', '🤣', '🤣', 'dem', 'go', 'tell', 'u', 'say', 'ibi', 'courses', 'na', 'baako', 'bia', 'y', 'gh', 'ybl', 'oo']","['handouts', 'nkoaa', '🤣', '🤣', '🤣', 'dem', 'go', 'tell', 'u', 'say', 'ibi', 'courses', 'baako', 'bia', 'gh', 'ybl', 'oo']"
akoa yale wo tee dase abr aaa na wama wo kora so,negative,"['akoa', 'yale', 'wo', 'tee', 'dase', 'abr', 'aaa', 'na', 'wama', 'wo', 'kora', 'so']","['akoa', 'yale', 'tee', 'dase', 'abr', 'aaa', 'wama', 'kora']"
😂😂😂😂😂😂 ah kwame sabi ɛnti nkwasia keka yi wongyae,negative,"['😂', '😂', '😂', '😂', '😂', '😂', 'ah', 'kwame', 'sabi', 'ɛnti', 'nkwasia', 'keka', 'yi', 'wongyae']","['😂', '😂', '😂', '😂', '😂', '😂', 'ah', 'kwame', 'sabi', 'ɛnti', 'nkwasia', 'keka', 'yi', 'wongyae']"
ny yie gye woahom papa lawyer wae abronyfoyi w mo redzi aboree ara ewu,negative,"['ny', 'yie', 'gye', 'woahom', 'papa', 'lawyer', 'wae', 'abronyfoyi', 'w', 'mo', 'redzi', 'aboree', 'ara', 'ewu']","['ny', 'yie', 'gye', 'woahom', 'papa', 'lawyer', 'wae', 'abronyfoyi', 'w', 'redzi', 'aboree', 'ara', 'ewu']"
medikal ankasa ne rap nyinaaa as ne ho balike hes cumin gidigidi nkooaaa,negative,"['medikal', 'ankasa', 'ne', 'rap', 'nyinaaa', 'as', 'ne', 'ho', 'balike', 'hes', 'cumin', 'gidigidi', 'nkooaaa']","['medikal', 'ankasa', 'rap', 'nyinaaa', 'balike', 'hes', 'cumin', 'gidigidi', 'nkooaaa']"
y yenaa y rap nanso esono obiaa ene be bo enti masa dwag me me,negative,"['y', 'yenaa', 'y', 'rap', 'nanso', 'esono', 'obiaa', 'ene', 'be', 'bo', 'enti', 'masa', 'dwag', 'me', 'me']","['yenaa', 'rap', 'nanso', 'esono', 'obiaa', 'bo', 'enti', 'masa', 'dwag']"
obi nka kyere kofi taylor s ne gyimi no ka sn,negative,"['obi', 'nka', 'kyere', 'kofi', 'taylor', 's', 'ne', 'gyimi', 'no', 'ka', 'sn']","['obi', 'nka', 'kyere', 'kofi', 'taylor', 'gyimi', 'sn']"
team wey your starting point guard be pat berv deɛ mo nyɛ papa bia saa,negative,"['team', 'wey', 'your', 'starting', 'point', 'guard', 'be', 'pat', 'berv', 'deɛ', 'mo', 'nyɛ', 'papa', 'bia', 'saa']","['team', 'wey', 'starting', 'point', 'guard', 'pat', 'berv', 'deɛ', 'nyɛ', 'papa', 'bia', 'saa']"
kwaku frimpong de asem aba ewie,negative,"['kwaku', 'frimpong', 'de', 'asem', 'aba', 'ewie']","['kwaku', 'frimpong', 'asem', 'aba', 'ewie']"
nea aka no nnyɛ i know paaa lol,negative,"['nea', 'aka', 'no', 'nnyɛ', 'i', 'know', 'paaa', 'lol']","['nea', 'aka', 'nnyɛ', 'know', 'paaa', 'lol']"
masa masa gyae ruff atalanta na asa ntiaa,negative,"['masa', 'masa', 'gyae', 'ruff', 'atalanta', 'na', 'asa', 'ntiaa']","['masa', 'masa', 'gyae', 'ruff', 'atalanta', 'asa', 'ntiaa']"
eeiii bla wo blɛ papa,negative,"['eeiii', 'bla', 'wo', 'blɛ', 'papa']","['eeiii', 'bla', 'blɛ', 'papa']"
saara nso na wote ɔman nu mu na sɛ wodi ntoro gu ɔman no ho fi a wo yɛ ɔmanbɔ fuɔ,negative,"['saara', 'nso', 'na', 'wote', 'ɔman', 'nu', 'mu', 'na', 'sɛ', 'wodi', 'ntoro', 'gu', 'ɔman', 'no', 'ho', 'fi', 'a', 'wo', 'yɛ', 'ɔmanbɔ', 'fuɔ']","['saara', 'wote', 'ɔman', 'nu', 'sɛ', 'wodi', 'ntoro', 'gu', 'ɔman', 'fi', 'ɔmanbɔ', 'fuɔ']"
wo maame ne twba,negative,"['wo', 'maame', 'ne', 'twba']","['maame', 'twba']"
ade yi ahye me awurade🥲,negative,"['ade', 'yi', 'ahye', 'me', 'awurade', '🥲']","['ade', 'yi', 'ahye', 'awurade', '🥲']"
obaa na wode no toto nyame eeeii case nehu oo,negative,"['obaa', 'na', 'wode', 'no', 'toto', 'nyame', 'eeeii', 'case', 'nehu', 'oo']","['obaa', 'wode', 'toto', 'nyame', 'eeeii', 'case', 'nehu', 'oo']"
herh fa wo gyimie fri ha k,negative,"['herh', 'fa', 'wo', 'gyimie', 'fri', 'ha', 'k']","['herh', 'fa', 'gyimie', 'fri', 'ha', 'k']"
masa yɛ stɛdi wɔ hɔ😂😂😂,negative,"['masa', 'yɛ', 'stɛdi', 'wɔ', 'hɔ', '😂', '😂', '😂']","['masa', 'stɛdi', 'hɔ', '😂', '😂', '😂']"
rasta de anka school fa wo ho bn reggae ne dancehall w h ooo nanso rasta se daabi bk school 😂😂😂,negative,"['rasta', 'de', 'anka', 'school', 'fa', 'wo', 'ho', 'bn', 'reggae', 'ne', 'dancehall', 'w', 'h', 'ooo', 'nanso', 'rasta', 'se', 'daabi', 'bk', 'school', '😂', '😂', '😂']","['rasta', 'anka', 'school', 'fa', 'bn', 'reggae', 'dancehall', 'w', 'h', 'ooo', 'nanso', 'rasta', 'daabi', 'bk', 'school', '😂', '😂', '😂']"
wohunu ahoufe a wo gyimi da 😃,negative,"['wohunu', 'ahoufe', 'a', 'wo', 'gyimi', 'da', '😃']","['wohunu', 'ahoufe', 'gyimi', '😃']"
wo ne wo crew no nyinaa mo y mmoa,negative,"['wo', 'ne', 'wo', 'crew', 'no', 'nyinaa', 'mo', 'y', 'mmoa']","['crew', 'nyinaa', 'mmoa']"
wuni sika nso wup tw mona mubl 🤣,negative,"['wuni', 'sika', 'nso', 'wup', 'tw', 'mona', 'mubl', '🤣']","['wuni', 'sika', 'wup', 'tw', 'mona', 'mubl', '🤣']"
sika nahye sika no ahye 🤣🤣🤣💔,negative,"['sika', 'nahye', 'sika', 'no', 'ahye', '🤣', '🤣', '🤣', '💔']","['sika', 'nahye', 'sika', 'ahye', '🤣', '🤣', '🤣', '💔']"
adwaman ay wo sei ram eiiii🤔🤔,negative,"['adwaman', 'ay', 'wo', 'sei', 'ram', 'eiiii', '🤔', '🤔']","['adwaman', 'ay', 'sei', 'ram', 'eiiii', '🤔', '🤔']"
eeii marketing yi dierr nfa oo🌚🦦,negative,"['eeii', 'marketing', 'yi', 'dierr', 'nfa', 'oo', '🌚', '🦦']","['eeii', 'marketing', 'yi', 'dierr', 'nfa', 'oo', '🌚', '🦦']"
hwɛ 😂😂😂😂 agorɔ wɔ wani so,negative,"['hwɛ', '😂', '😂', '😂', '😂', 'agorɔ', 'wɔ', 'wani', 'so']","['hwɛ', '😂', '😂', '😂', '😂', 'agorɔ', 'wani']"
y wo s mada wafutuo tantan no y wo s mafa,negative,"['y', 'wo', 's', 'mada', 'wafutuo', 'tantan', 'no', 'y', 'wo', 's', 'mafa']","['mada', 'wafutuo', 'tantan', 'mafa']"
ohh papap jm mi dɔ wo paa nanso vaccine woe diɛ mingye ɛndɛ ɛngye ɔkyina apoootoɔɔ adɛn nti na ghana ni diɛ no fɔr no anhwihwɛ mu ɛnwie ansa adɛn nti nna yɛngyi yɛnho di kakraa mpo yei adɛn,negative,"['ohh', 'papap', 'jm', 'mi', 'dɔ', 'wo', 'paa', 'nanso', 'vaccine', 'woe', 'diɛ', 'mingye', 'ɛndɛ', 'ɛngye', 'ɔkyina', 'apoootoɔɔ', 'adɛn', 'nti', 'na', 'ghana', 'ni', 'diɛ', 'no', 'fɔr', 'no', 'anhwihwɛ', 'mu', 'ɛnwie', 'ansa', 'adɛn', 'nti', 'nna', 'yɛngyi', 'yɛnho', 'di', 'kakraa', 'mpo', 'yei', 'adɛn']","['ohh', 'papap', 'jm', 'mi', 'dɔ', 'paa', 'nanso', 'vaccine', 'woe', 'diɛ', 'mingye', 'ɛndɛ', 'ɛngye', 'ɔkyina', 'apoootoɔɔ', 'adɛn', 'nti', 'ghana', 'diɛ', 'fɔr', 'anhwihwɛ', 'ɛnwie', 'ansa', 'adɛn', 'nti', 'nna', 'yɛngyi', 'yɛnho', 'kakraa', 'mpo', 'yei', 'adɛn']"
aane oo nana 😂😂 yabr ne cedi no,negative,"['aane', 'oo', 'nana', '😂', '😂', 'yabr', 'ne', 'cedi', 'no']","['aane', 'oo', 'nana', '😂', '😂', 'yabr', 'cedi']"
anka wawu kwasia wuo y b sie wo kwasia sie,negative,"['anka', 'wawu', 'kwasia', 'wuo', 'y', 'b', 'sie', 'wo', 'kwasia', 'sie']","['anka', 'wawu', 'kwasia', 'wuo', 'b', 'sie', 'kwasia', 'sie']"
afei deɛ atra me,negative,"['afei', 'deɛ', 'atra', 'me']","['afei', 'deɛ', 'atra']"
fire 🔥 them paa milo no asa,negative,"['fire', '🔥', 'them', 'paa', 'milo', 'no', 'asa']","['fire', '🔥', 'paa', 'milo', 'asa']"
yaa pono dey insult kumasi musicians after beyonce wo ni kumasi fu ne y track,negative,"['yaa', 'pono', 'dey', 'insult', 'kumasi', 'musicians', 'after', 'beyonce', 'wo', 'ni', 'kumasi', 'fu', 'ne', 'y', 'track']","['yaa', 'pono', 'dey', 'insult', 'kumasi', 'musicians', 'beyonce', 'kumasi', 'fu', 'track']"
efie ne fie me ntumi nfrimu ɔman no sɛi aa yɛn nyinaa yɛ ti mu ashi me aa ashi me aa ashi me aa nso me ntumi nfrimu independence became dependency🤫,negative,"['efie', 'ne', 'fie', 'me', 'ntumi', 'nfrimu', 'ɔman', 'no', 'sɛi', 'aa', 'yɛn', 'nyinaa', 'yɛ', 'ti', 'mu', 'ashi', 'me', 'aa', 'ashi', 'me', 'aa', 'ashi', 'me', 'aa', 'nso', 'me', 'ntumi', 'nfrimu', 'independence', 'became', 'dependency', '🤫']","['efie', 'fie', 'ntumi', 'nfrimu', 'ɔman', 'sɛi', 'nyinaa', 'ti', 'ashi', 'ashi', 'ashi', 'ntumi', 'nfrimu', 'independence', 'became', 'dependency', '🤫']"
blacko gyai gyimii no cos u belong to god not karishika 😡,negative,"['blacko', 'gyai', 'gyimii', 'no', 'cos', 'u', 'belong', 'to', 'god', 'not', 'karishika', '😡']","['blacko', 'gyai', 'gyimii', 'cos', 'u', 'belong', 'god', 'karishika', '😡']"
nyansa ni baako ho den kyn agyimifo 🤣 charles taylor,negative,"['nyansa', 'ni', 'baako', 'ho', 'den', 'kyn', 'agyimifo', '🤣', 'charles', 'taylor']","['nyansa', 'baako', 'den', 'kyn', 'agyimifo', '🤣', 'charles', 'taylor']"
yɛte sika so nso ɛkom de yɛn hmmm talk is cheap indeed,negative,"['yɛte', 'sika', 'so', 'nso', 'ɛkom', 'de', 'yɛn', 'hmmm', 'talk', 'is', 'cheap', 'indeed']","['yɛte', 'sika', 'ɛkom', 'hmmm', 'talk', 'cheap', 'indeed']"
wo na woo blɛ,negative,"['wo', 'na', 'woo', 'blɛ']","['woo', 'blɛ']"
nipa mu dwan bhy ma ynhw,negative,"['nipa', 'mu', 'dwan', 'bhy', 'ma', 'ynhw']","['nipa', 'dwan', 'bhy', 'ynhw']"
a whole dr na wagyimi sei 😂😂😂😂😂,negative,"['a', 'whole', 'dr', 'na', 'wagyimi', 'sei', '😂', '😂', '😂', '😂', '😂']","['whole', 'dr', 'wagyimi', 'sei', '😂', '😂', '😂', '😂', '😂']"
friday anopa vawulence 🔥🔥🔥 hwɛ ne fɛ,negative,"['friday', 'anopa', 'vawulence', '🔥', '🔥', '🔥', 'hwɛ', 'ne', 'fɛ']","['friday', 'anopa', 'vawulence', '🔥', '🔥', '🔥', 'hwɛ', 'fɛ']"
yɛn mmom na yɛblɛ eii🤣🤣🤣🤣,negative,"['yɛn', 'mmom', 'na', 'yɛblɛ', 'eii', '🤣', '🤣', '🤣', '🤣']","['mmom', 'yɛblɛ', 'eii', '🤣', '🤣', '🤣', '🤣']"
cry more kwasiampanin ɛmpɛ adwuma bi nnyɛ den dey do follow back n errand boy give some gyimigyimj rasta,negative,"['cry', 'more', 'kwasiampanin', 'ɛmpɛ', 'adwuma', 'bi', 'nnyɛ', 'den', 'dey', 'do', 'follow', 'back', 'n', 'errand', 'boy', 'give', 'some', 'gyimigyimj', 'rasta']","['cry', 'kwasiampanin', 'ɛmpɛ', 'adwuma', 'nnyɛ', 'den', 'dey', 'follow', 'back', 'n', 'errand', 'boy', 'give', 'gyimigyimj', 'rasta']"
na obiaaa wo yɛ oil and gas deɛ nka poodle puppies fa wo ho bɛn🤣🤣,negative,"['na', 'obiaaa', 'wo', 'yɛ', 'oil', 'and', 'gas', 'deɛ', 'nka', 'poodle', 'puppies', 'fa', 'wo', 'ho', 'bɛn', '🤣', '🤣']","['obiaaa', 'oil', 'gas', 'deɛ', 'nka', 'poodle', 'puppies', 'fa', 'bɛn', '🤣', '🤣']"
fa fri yn so ooo 😂😂😂we dey want food,negative,"['fa', 'fri', 'yn', 'so', 'ooo', '😂', '😂', '😂', 'we', 'dey', 'want', 'food']","['fa', 'fri', 'yn', 'ooo', '😂', '😂', '😂', 'dey', 'want', 'food']"
wontuni nka nkwasiasem saa nkyer papa panyin tes me wate s kom de me a mpena no na mdi ong,negative,"['wontuni', 'nka', 'nkwasiasem', 'saa', 'nkyer', 'papa', 'panyin', 'tes', 'me', 'wate', 's', 'kom', 'de', 'me', 'a', 'mpena', 'no', 'na', 'mdi', 'ong']","['wontuni', 'nka', 'nkwasiasem', 'saa', 'nkyer', 'papa', 'panyin', 'tes', 'wate', 'kom', 'mpena', 'mdi', 'ong']"
hmmm ɛyɛ asɛm oo bra,negative,"['hmmm', 'ɛyɛ', 'asɛm', 'oo', 'bra']","['hmmm', 'ɛyɛ', 'asɛm', 'oo', 'bra']"
mo de yesu christo saa na oman no asei,negative,"['mo', 'de', 'yesu', 'christo', 'saa', 'na', 'oman', 'no', 'asei']","['yesu', 'christo', 'saa', 'oman', 'asei']"
adn wo na wuro dross no anaaa,negative,"['adn', 'wo', 'na', 'wuro', 'dross', 'no', 'anaaa']","['adn', 'wuro', 'dross', 'anaaa']"
nsi omo yie da,negative,"['nsi', 'omo', 'yie', 'da']","['nsi', 'omo', 'yie']"
